UsageDate,SubscriptionId,SubscriptionName,ResourceGroup,ResourceId,ResourceName,ServiceName,MeterCategory,MeterName,ResourceLocation,ChargeType,Quantity,UnitOfMeasure,PreTaxCost,Currency
2026-01-15,00000000-0000-0000-0000-000000000004,sub-data-prod,rg-shared-test-003,/subscriptions/00000000-0000-0000-0000-000000000004/resourceGroups/rg-shared-test-003/providers/Microsoft.Network/bandwidth/res01995,res01995,Bandwidth,Networking,Inter-Region,germanywestcentral,Usage,127.3922,1 Hour,33.4835,USD
2026-01-25,00000000-0000-0000-0000-000000000005,sub-data-dev,rg-network-dev-001,/subscriptions/00000000-0000-0000-0000-000000000005/resourceGroups/rg-network-dev-001/providers/Microsoft.Web/sites/res01428,res01428,Azure Functions,Compute,Execution Time,germanywestcentral,Usage,91.9121,1 Unit,2.9549,USD
2026-01-08,00000000-0000-0000-0000-000000000002,sub-platform-dev,rg-shared-corp-001,/subscriptions/00000000-0000-0000-0000-000000000002/resourceGroups/rg-shared-corp-001/providers/Microsoft.Security/pricings/res00543,res00543,Microsoft Defender for Cloud,Security,Defender for SQL,northeurope,Usage,252.2105,1 Hour,52.4677,USD
2026-01-22,00000000-0000-0000-0000-000000000008,sub-apps-online,rg-backup-dev-002,/subscriptions/00000000-0000-0000-0000-000000000008/resourceGroups/rg-backup-dev-002/providers/Microsoft.ServiceBus/namespaces/res00017,res00017,Service Bus,Integration,Operations,francecentral,Usage,149.0756,1 Unit,4.7163,USD
2026-01-05,00000000-0000-0000-0000-000000000001,sub-platform-prod,rg-backup-dev-002,/subscriptions/00000000-0000-0000-0000-000000000001/resourceGroups/rg-backup-dev-002/providers/Microsoft.Network/azureFirewalls/res01703,res01703,Azure Firewall,Networking,Deployment Hours,uksouth,Usage,95.3832,1M Operations,53.2127,USD
2026-01-22,00000000-0000-0000-0000-000000000006,sub-network-hub,rg-monitoring-corp-001,/subscriptions/00000000-0000-0000-0000-000000000006/resourceGroups/rg-monitoring-corp-001/providers/Microsoft.Network/azureFirewalls/res00177,res00177,Azure Firewall,Networking,Deployment Hours,westeurope,Usage,9.9944,1 Unit,35.8795,USD
2026-01-22,00000000-0000-0000-0000-000000000011,sub-management,rg-identity-hub-002,/subscriptions/00000000-0000-0000-0000-000000000011/resourceGroups/rg-identity-hub-002/providers/Microsoft.Databricks/workspaces/res01230,res01230,Azure Databricks,Analytics,Premium DBU,northeurope,Usage,23.9878,10 GB,110.0924,USD
2026-01-20,00000000-0000-0000-0000-000000000003,sub-platform-test,rg-security-dev-002,/subscriptions/00000000-0000-0000-0000-000000000003/resourceGroups/rg-security-dev-002/providers/Microsoft.ServiceBus/namespaces/res01725,res01725,Service Bus,Integration,Premium Messaging Unit,northeurope,Usage,175.4879,1 GB,3.9847,USD
2026-01-27,00000000-0000-0000-0000-000000000006,sub-network-hub,rg-compute-prod-003,/subscriptions/00000000-0000-0000-0000-000000000006/resourceGroups/rg-compute-prod-003/providers/Microsoft.Network/applicationGateways/res01821,res01821,Application Gateway,Networking,Capacity Unit,swedencentral,Usage,130.9529,100 Hours,11.8212,USD
2026-01-04,00000000-0000-0000-0000-000000000007,sub-network-spoke,rg-data-dev-002,/subscriptions/00000000-0000-0000-0000-000000000007/resourceGroups/rg-data-dev-002/providers/Microsoft.Network/bandwidth/res00712,res00712,Bandwidth,Networking,Data Transfer Out - Zone 1,westeurope,Usage,65.9113,1 GB/Month,2.8197,USD
2026-01-24,00000000-0000-0000-0000-000000000012,sub-sandbox,rg-backup-corp-001,/subscriptions/00000000-0000-0000-0000-000000000012/resourceGroups/rg-backup-corp-001/providers/Microsoft.Security/pricings/res01086,res01086,Microsoft Defender for Cloud,Security,Defender for Storage,uksouth,Usage,5.584,100 Hours,12.4183,USD
